Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.226883;0.0282912;0.004999;8.34266e-07;2.55756;20;0.00165543;0.00377539;0.0083947;0.0118586;0.0144916;0.0173606;0.020368;0.0221542;0.024081;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0322262;0.00361995;1.10432e-06;2.89034;23;0.00227815;0.00488986;0.0104806;0.0145686;0.0176055;0.0208344;0.0241174;0.0260154;0.0280255;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.238785;0.0313667;0.0019222;8.27986e-07;3.32445;21;0.00178419;0.00425725;0.00960507;0.0135701;0.0165517;0.019762;0.023076;0.0250171;0.0270903;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.227449;0.034189;0.00166894;9.20901e-07;3.57972;24;0.00267533;0.00519292;0.0106895;0.0148196;0.0179629;0.0213904;0.0249849;0.0271197;0.0294222;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.216154;0.0362793;0.000762513;7.98623e-07;3.06423;20;0.00219461;0.00479096;0.0105148;0.0148744;0.018233;0.0219434;0.0258987;0.0282833;0.0308832;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.230544;0.0390397;0.00447303;1.26474e-06;2.31844;17;0.00201438;0.00500773;0.0115178;0.0163849;0.0200735;0.0240789;0.0282586;0.0307305;0.0333887;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.249999;0.0354598;5.43309e-05;4.57849e-07;2.81139;21;0.0022104;0.0051119;0.0113298;0.0158819;0.0192661;0.0228662;0.0265284;0.0286461;0.0308891;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.249999;0.0358252;1.1e-05;2.91364e-07;2.6055;18;0.00234999;0.0052712;0.0115314;0.0161143;0.0195215;0.0231461;0.0268331;0.0289653;0.0312234;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.185955;0.0380764;0.00486855;4.39539e-07;3.69141;22;0.00190278;0.00429053;0.00967834;0.0139209;0.0172924;0.0211471;0.0254465;0.0281547;0.0312142;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.230429;0.0361028;0.00171026;6.04403e-07;3.2131;19;0.00213672;0.00488349;0.0108655;0.0153448;0.018743;0.0224362;0.026293;0.0285752;0.0310299;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249635;0.035988;0.00159688;5.0928e-07;3.59259;24;0.00293707;0.00581702;0.0119894;0.0165091;0.01987;0.0234465;0.027086;0.0291914;0.0314218;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0359773;0.0039378;6.96556e-07;2.9052;22;0.00342705;0.00626553;0.0123411;0.0167831;0.0200829;0.023591;0.0271577;0.0292197;0.0314034;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
