Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.21571;0.0284704;0.000767355;8.15672e-07;2.89253;18;0.00106393;0.00314753;0.00774267;0.0112443;0.0139433;0.0169264;0.0201085;0.0220281;0.024122;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0320791;1.1e-05;1.10646e-06;3.66637;19;0.00228314;0.00488328;0.0104554;0.0145346;0.0175673;0.0207936;0.0240754;0.0259731;0.0279831;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.249999;0.0310958;0.00149769;8.13078e-07;3.20278;20;0.00231046;0.00482212;0.0102036;0.0141424;0.0170703;0.0201847;0.0233525;0.0251843;0.0271244;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.21669;0.0357637;0.004999;9.62605e-07;2.76269;17;0.00205917;0.00462929;0.0102802;0.0145709;0.017869;0.0215053;0.0253742;0.0277032;0.0302404;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.217433;0.0364991;0.004999;8.09921e-07;3.24149;17;0.00206406;0.00469842;0.0104873;0.0148792;0.0182525;0.0219688;0.0259185;0.0282939;0.0308797;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.236682;0.038447;0.000513831;1.21354e-06;3.02661;17;0.00245695;0.00544147;0.0119087;0.0167172;0.0203418;0.0242542;0.0283052;0.030684;0.0332293;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.239184;0.0360401;1.1e-05;4.91913e-07;2.91419;16;0.00209848;0.00494092;0.0110875;0.0156443;0.0190703;0.0227581;0.0265636;0.0287917;0.0311708;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.249999;0.0357837;0.000785394;2.97918e-07;3.75613;19;0.00192833;0.00488264;0.0112134;0.0158478;0.0192932;0.0229583;0.0266865;0.0288424;0.0311257;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.20013;0.0367094;0.004999;4.16456e-07;3.94835;23;0.00239503;0.00482283;0.0102351;0.0144251;0.0177034;0.021388;0.0254064;0.0278828;0.0306301;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.229705;0.036008;0.00374839;5.619e-07;3.76248;21;0.00205596;0.00479205;0.0107489;0.0152085;0.0185922;0.0222707;0.0261143;0.0283901;0.0308392;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.0361453;0.00485859;5.38633e-07;2.646;16;0.00284082;0.00574407;0.0119546;0.0164925;0.019862;0.0234433;0.0270835;0.0291877;0.031416;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0361798;0.00157747;7.23617e-07;2.71176;17;0.00350051;0.00635194;0.0124614;0.0169331;0.0202571;0.023793;0.0273894;0.029469;0.0316716;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
