Error;Run 1;Run 2;Run 3;Run 4 ;Run 5
5;0.00168802;0.000946247;0.000381281;0.00129824;0.00128689
10;0.000131567;0.000140719;6.51E-05;6.73E-05;0.000198133
15;7.52E-05;0.000183147;0.000157051;6.54E-05;0.000145524
20;9.28E-05;8.91E-05;9.55E-05;5.07E-05;6.85E-05
25;6.01E-05;0.000137302;0.00015741;7.03E-05;0.000158621
30;0.000206223;0.000130641;5.24E-05;7.66E-05;6.78E-05
35;6.20E-05;0.0019673;0.00202869;0.00217806;0.000171205
40;5.86E-05;8.17E-05;6.14E-05;6.71E-05;7.89E-05
45;6.28E-05;6.20E-05;4.48E-05;4.21E-05;6.06E-05
50;8.12E-05;8.12E-05;7.34E-05;6.43E-05;5.85E-05
55;8.63E-05;6.03E-05;7.04E-05;6.43E-05;0.000110951
60;5.13E-05;6.22E-05;0.000379705;7.43E-05;0.00011736
65;7.11E-05;8.13E-05;4.02E-05;6.08E-05;6.27E-05
70;5.53E-05;6.24E-05;6.53E-05;6.72E-05;5.84E-05
75;5.78E-05;6.76E-05;7.08E-05;7.20E-05;6.19E-05
80;6.14E-05;5.95E-05;5.92E-05;5.94E-05;6.04E-05
85;5.00E-05;6.35E-05;7.19E-05;6.79E-05;7.15E-05
90;5.36E-05;6.52E-05;6.40E-05;5.42E-05;6.23E-05
95;6.79E-05;6.58E-05;6.98E-05;6.17E-05;6.82E-05
100;6.30E-05;5.57E-05;5.65E-05;6.15E-05;6.47E-05
150;6.56E-05;6.17E-05;4.67E-05;5.99E-05;6.22E-05
200;6.02E-05;6.05E-05;4.85E-05;6.02E-05;5.99E-05
250;5.58E-05;6.19E-05;6.29E-05;6.22E-05;6.18E-05
300;6.59E-05;5.17E-05;6.08E-05;6.19E-05;6.09E-05
350;6.05E-05;6.13E-05;5.90E-05;6.14E-05;5.99E-05
400;6.57E-05;5.90E-05;5.49E-05;6.12E-05;5.87E-05
450;6.76E-05;5.25E-05;5.71E-05;5.88E-05;5.69E-05
500;6.03E-05;6.18E-05;6.80E-05;6.28E-05;6.02E-05
 ;;;;;
