Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.226079;0.0282405;0.000647616;9.02825e-07;4.24809;23;0.00205109;0.00413178;0.00868067;0.012105;0.0147153;0.0175664;0.0205624;0.0223452;0.0242702;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0322138;0.004999;1.13054e-06;4.81982;25;0.00228803;0.00489626;0.0104739;0.0145479;0.0175724;0.0207863;0.0240528;0.0259408;0.02794;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.242839;0.0311118;1.1e-05;8.39677e-07;5.52321;23;0.00261412;0.00503463;0.0102529;0.014105;0.0169901;0.0200833;0.0232596;0.0251113;0.0270829;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.227605;0.0343286;0.004999;1.05293e-06;4.67229;23;0.00186839;0.00446035;0.0101075;0.0143409;0.0175575;0.0210606;0.0247299;0.0269076;0.0292553;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.216331;0.0361712;0.00191827;8.24534e-07;5.22125;23;0.00255049;0.00511305;0.01076;0.0150587;0.0183691;0.0220248;0.0259203;0.028268;0.0308272;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.229467;0.0387693;0.004999;1.21833e-06;5.43405;25;0.00243535;0.00535925;0.0117213;0.0164816;0.0200921;0.0240166;0.028117;0.0305451;0.0331584;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.247652;0.0355109;0.00291603;5.4272e-07;5.02541;24;0.00245777;0.00531585;0.0114487;0.0159475;0.0192987;0.0228716;0.0265162;0.028629;0.0308703;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.242206;0.0359886;2.03234e-05;3.22015e-07;4.39615;23;0.00232699;0.00517917;0.0113313;0.0158761;0.0192823;0.0229367;0.0266924;0.0288836;0.0312177;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.197476;0.0368877;0.000962427;4.4384e-07;4.90099;26;0.00147134;0.00394904;0.00949825;0.0138196;0.0172169;0.0210535;0.0252611;0.0278668;0.0307682;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.236928;0.0354428;1.1e-05;5.99084e-07;4.29238;23;0.00209386;0.00486208;0.0108595;0.0153174;0.018677;0.0223024;0.0260549;0.0282579;0.0306145;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.0360135;1.1e-05;5.19103e-07;5.89221;31;0.00257389;0.00549199;0.0117455;0.0163236;0.0197271;0.0233479;0.027031;0.0291608;0.0314166;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0361318;0.00208228;6.86243e-07;5.42078;28;0.00408086;0.00687722;0.0128678;0.0172518;0.0205103;0.0239761;0.0275011;0.0295394;0.0316981;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
