Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.238917;0.0277036;0.00123176;8.14861e-07;2.75732;17;0.00142554;0.0036237;0.00837743;0.0119021;0.0145526;0.0174062;0.0203517;0.0220768;0.0239192;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0323668;0.00494568;1.10202e-06;2.87605;18;0.00263456;0.00522596;0.0107678;0.0148158;0.017821;0.0210146;0.0242604;0.0261364;0.028123;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.235059;0.0318694;0.00420548;8.96479e-07;2.39222;15;0.00209196;0.0045432;0.00985353;0.0138023;0.0167806;0.0199982;0.0233348;0.0252971;0.0273992;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.234028;0.0338761;0.00228365;9.97101e-07;2.38396;15;0.00231639;0.00490546;0.0105259;0.0147156;0.0178817;0.0213084;0.0248688;0.0269661;0.0292149;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.217156;0.0360411;0.00143053;7.76537e-07;3.02957;19;0.00157686;0.00421335;0.0100201;0.0144369;0.0178356;0.0215856;0.025577;0.02798;0.0305973;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.230981;0.0388494;0.000206043;1.16289e-06;4.07835;22;0.0018889;0.00488493;0.0114083;0.0162911;0.0199939;0.0240162;0.028214;0.0306963;0.0333651;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.244295;0.0357273;1.1e-05;4.60179e-07;3.67054;18;0.00167886;0.00458698;0.0108488;0.0154634;0.0189145;0.0226085;0.0263944;0.0285979;0.0309413;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.249999;0.0357202;0.00202453;2.87387e-07;3.46888;19;0.00221602;0.00513923;0.0114017;0.0159849;0.0193915;0.0230149;0.0267003;0.0288313;0.0310882;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.19456;0.0370191;0.0011829;4.3894e-07;3.01261;17;0.00196548;0.00438353;0.00981232;0.0140545;0.0174001;0.0211914;0.0253685;0.0279667;0.0308704;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.223354;0.0366833;0.00393869;5.69436e-07;3.33866;19;0.00214876;0.00485949;0.0107919;0.0152657;0.0186827;0.0224237;0.0263677;0.0287218;0.03127;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.0361009;0.00256716;5.06626e-07;3.32768;20;0.00287819;0.00577652;0.0119845;0.0165269;0.0199027;0.023493;0.0271444;0.0292557;0.0314917;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0361639;0.00119122;6.96792e-07;3.22355;20;0.00412879;0.00692415;0.012914;0.0172984;0.0205578;0.024025;0.0275518;0.0295911;0.0317511;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
